trip_id,pickup_time,dropoff_time,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance_km,fare,duration_min
1,2026-09-01 08:15:00,2026-09-01 08:42:00,12.9716,77.5946,12.9352,77.6146,6.2,145.0,27.0
2,2026-09-01 08:20:00,2026-09-01 08:35:00,12.9784,77.6408,12.9698,77.75,9.8,220.0,15.0
3,2026-09-01 09:05:00,2026-09-01 09:55:00,12.9165,77.6101,13.0067,77.5648,11.4,280.0,50.0
5,2026-09-01 17:30:00,2026-09-01 18:20:00,12.9784,77.6408,12.9279,77.6271,8.5,210.0,50.0
6,2026-09-01 17:45:00,2026-09-01 18:05:00,12.9352,77.6146,12.9716,77.5946,6.0,140.0,20.0
8,2026-09-02 08:00:00,2026-09-02 08:30:00,12.9698,77.75,12.9784,77.6408,9.9,215.0,30.0
9,2026-09-02 08:05:00,2026-09-02 08:25:00,12.9165,77.6101,12.9345,77.6101,3.1,90.0,20.0
10,2026-09-02 19:15:00,2026-09-02 19:50:00,13.0067,77.5648,12.9165,77.6101,10.2,260.0,35.0
11,2026-09-03 08:10:00,2026-09-03 08:33:00,12.9716,77.5946,12.9784,77.6408,7.1,160.0,23.0
12,2026-09-03 08:40:00,2026-09-03 09:10:00,12.9121,77.6446,12.9165,77.6101,5.5,130.0,30.0
13,2026-09-03 09:15:00,2026-09-03 09:45:00,12.8452,77.6602,12.9121,77.6446,7.9,190.0,30.0
14,2026-09-03 17:20:00,2026-09-03 17:50:00,12.9352,77.6146,12.9716,77.5946,6.0,145.0,30.0
15,2026-09-03 18:05:00,2026-09-03 18:40:00,12.9784,77.6408,12.9698,77.75,9.8,225.0,35.0
16,2026-09-04 08:00:00,2026-09-04 08:20:00,12.9716,77.5946,12.9352,77.6146,6.2,140.0,20.0
17,2026-09-04 08:25:00,2026-09-04 08:45:00,12.9165,77.6101,12.9121,77.6446,4.9,120.0,20.0
18,2026-09-04 09:00:00,2026-09-04 09:40:00,13.0067,77.5648,12.9716,77.5946,6.8,175.0,40.0
19,2026-09-04 17:10:00,2026-09-04 18:05:00,12.9698,77.75,12.9784,77.6408,9.9,230.0,55.0
20,2026-09-04 18:15:00,2026-09-04 18:50:00,12.9352,77.6146,12.9165,77.6101,3.0,95.0,35.0
21,2026-09-05 08:05:00,2026-09-05 08:25:00,12.9716,77.5946,12.9784,77.6408,7.1,155.0,20.0
22,2026-09-05 08:30:00,2026-09-05 08:50:00,12.8452,77.6602,12.9121,77.6446,7.9,185.0,20.0
23,2026-09-05 09:00:00,2026-09-05 09:20:00,12.9165,77.6101,12.9345,77.6101,3.1,85.0,20.0
24,2026-09-05 17:00:00,2026-09-05 17:55:00,12.9784,77.6408,12.9279,77.6271,8.5,215.0,55.0
25,2026-09-05 19:00:00,2026-09-05 19:30:00,13.0067,77.5648,12.9165,77.6101,10.2,255.0,30.0
26,2026-09-06 08:15:00,2026-09-06 08:35:00,12.9352,77.6146,12.9716,77.5946,6.0,142.0,20.0
27,2026-09-06 08:45:00,2026-09-06 09:05:00,12.9121,77.6446,12.9165,77.6101,4.9,118.0,20.0
28,2026-09-06 09:10:00,2026-09-06 09:50:00,12.8452,77.6602,12.9698,77.75,4.1,110.0,40.0
29,2026-09-06 17:30:00,2026-09-06 18:25:00,12.9716,77.5946,12.9352,77.6146,6.2,150.0,55.0
30,2026-09-06 18:30:00,2026-09-06 19:00:00,12.9784,77.6408,12.9698,77.75,9.8,222.0,30.0
